,bus,carrier,p_nom,year_removed
DE0 2 biomass,DE0 2,biomass,277.66,2045
DE0 9 biomass,DE0 9,biomass,266.62,2045
DE0 A biomass,DE0 A,biomass,284.69,2045
DE0 E biomass,DE0 E,biomass,271.82,2045
DE0 A biomass,DE0 A,biomass,284.69,2044
DE0 2 biomass,DE0 2,biomass,277.66,2043
DE0 9 biomass,DE0 9,biomass,266.62,2043
DE0 A biomass,DE0 A,biomass,284.69,2043
DE0 E biomass,DE0 E,biomass,271.82,2043
DE0 2 biomass,DE0 2,biomass,277.66,2042
DE0 A biomass,DE0 A,biomass,284.69,2042
DE0 2 biomass,DE0 2,biomass,277.66,2041
DE0 9 biomass,DE0 9,biomass,266.62,2041
DE0 A biomass,DE0 A,biomass,284.69,2041
DE0 E biomass,DE0 E,biomass,271.82,2041
DE0 2 biomass,DE0 2,biomass,277.66,2040
DE0 A biomass,DE0 A,biomass,284.69,2040
DE0 2 biomass,DE0 2,biomass,277.66,2039
DE0 9 biomass,DE0 9,biomass,266.62,2039
DE0 A biomass,DE0 A,biomass,284.69,2039
DE0 E biomass,DE0 E,biomass,271.82,2039
DE0 2 biomass,DE0 2,biomass,277.66,2038
DE0 9 biomass,DE0 9,biomass,266.62,2038
DE0 A biomass,DE0 A,biomass,284.69,2038
DE0 2 biomass,DE0 2,biomass,277.66,2037
DE0 A biomass,DE0 A,biomass,284.69,2037
DE0 E biomass,DE0 E,biomass,271.82,2037
DE0 2 biomass,DE0 2,biomass,277.66,2036
DE0 9 biomass,DE0 9,biomass,266.62,2036
DE0 A biomass,DE0 A,biomass,284.69,2036
DE0 2 biomass,DE0 2,biomass,277.66,2035
DE0 A biomass,DE0 A,biomass,284.69,2035
DE0 E biomass,DE0 E,biomass,271.82,2035
DE0 2 biomass,DE0 2,biomass,277.66,2034
DE0 9 biomass,DE0 9,biomass,266.62,2034
DE0 A biomass,DE0 A,biomass,284.69,2034
DE0 2 biomass,DE0 2,biomass,277.66,2033
DE0 9 biomass,DE0 9,biomass,266.62,2033
DE0 A biomass,DE0 A,biomass,569.38,2033
DE0 E biomass,DE0 E,biomass,271.82,2033
DE0 A biomass,DE0 A,biomass,284.69,2032
DE0 E biomass,DE0 E,biomass,271.82,2032
DE0 2 biomass,DE0 2,biomass,277.66,2031
DE0 9 biomass,DE0 9,biomass,266.62,2031
DE0 A biomass,DE0 A,biomass,284.69,2031
DE0 2 biomass,DE0 2,biomass,277.66,2030
DE0 A biomass,DE0 A,biomass,284.69,2030
DE0 E biomass,DE0 E,biomass,271.82,2030
DE0 2 biomass,DE0 2,biomass,277.66,2029
DE0 9 biomass,DE0 9,biomass,266.62,2029
DE0 A biomass,DE0 A,biomass,284.69,2029
DE0 2 biomass,DE0 2,biomass,277.66,2028
DE0 A biomass,DE0 A,biomass,284.69,2028
DE0 E biomass,DE0 E,biomass,271.82,2028
DE0 2 biomass,DE0 2,biomass,277.66,2027
DE0 9 biomass,DE0 9,biomass,266.62,2027
DE0 A biomass,DE0 A,biomass,284.69,2027
DE0 2 biomass,DE0 2,biomass,277.66,2026
DE0 9 biomass,DE0 9,biomass,266.62,2026
DE0 A biomass,DE0 A,biomass,284.69,2026
DE0 E biomass,DE0 E,biomass,271.82,2026
DE0 2 biomass,DE0 2,biomass,277.66,2025
DE0 A biomass,DE0 A,biomass,284.69,2025
DE0 2 biomass,DE0 2,biomass,277.66,2024
DE0 9 biomass,DE0 9,biomass,266.62,2024
DE0 A biomass,DE0 A,biomass,284.69,2024
DE0 E biomass,DE0 E,biomass,271.82,2024
DE0 2 biomass,DE0 2,biomass,277.66,2023
DE0 A biomass,DE0 A,biomass,284.69,2023
DE0 2 biomass,DE0 2,biomass,277.66,2022
DE0 9 biomass,DE0 9,biomass,266.62,2022
DE0 A biomass,DE0 A,biomass,284.69,2022
DE0 E biomass,DE0 E,biomass,271.82,2022
DE0 2 biomass,DE0 2,biomass,277.66,2021
DE0 9 biomass,DE0 9,biomass,266.62,2021
DE0 A biomass,DE0 A,biomass,569.38,2021
DE0 E biomass,DE0 E,biomass,271.82,2021
