,bus,carrier,p_nom,year_removed
DE0 2 gas,DE0 2,gas,283.26,2040
DE0 9 gas,DE0 9,gas,282.0,2040
DE0 A gas,DE0 A,gas,283.73,2040
DE0 E gas,DE0 E,gas,282.84,2040
DE0 2 gas,DE0 2,gas,1699.56,2039
DE0 9 gas,DE0 9,gas,1128.0,2039
DE0 A gas,DE0 A,gas,1986.1100000000001,2039
DE0 E gas,DE0 E,gas,848.52,2039
DE0 2 gas,DE0 2,gas,1699.56,2038
DE0 9 gas,DE0 9,gas,1128.0,2038
DE0 A gas,DE0 A,gas,2269.84,2038
DE0 E gas,DE0 E,gas,1131.36,2038
DE0 2 gas,DE0 2,gas,1982.82,2037
DE0 9 gas,DE0 9,gas,1128.0,2037
DE0 A gas,DE0 A,gas,2269.84,2037
DE0 E gas,DE0 E,gas,1131.36,2037
DE0 2 gas,DE0 2,gas,1699.56,2036
DE0 9 gas,DE0 9,gas,1128.0,2036
DE0 A gas,DE0 A,gas,2269.84,2036
DE0 E gas,DE0 E,gas,1131.36,2036
DE0 2 gas,DE0 2,gas,1982.82,2035
DE0 9 gas,DE0 9,gas,1128.0,2035
DE0 A gas,DE0 A,gas,1986.1100000000001,2035
DE0 E gas,DE0 E,gas,1131.36,2035
DE0 2 gas,DE0 2,gas,1699.56,2034
DE0 9 gas,DE0 9,gas,1128.0,2034
DE0 A gas,DE0 A,gas,2269.84,2034
DE0 E gas,DE0 E,gas,1131.36,2034
DE0 2 gas,DE0 2,gas,1982.82,2033
DE0 9 gas,DE0 9,gas,1128.0,2033
DE0 A gas,DE0 A,gas,2269.84,2033
DE0 E gas,DE0 E,gas,848.52,2033
DE0 2 gas,DE0 2,gas,1699.56,2032
DE0 9 gas,DE0 9,gas,1128.0,2032
DE0 A gas,DE0 A,gas,2269.84,2032
DE0 E gas,DE0 E,gas,1131.36,2032
DE0 2 gas,DE0 2,gas,1982.82,2031
DE0 9 gas,DE0 9,gas,1128.0,2031
DE0 A gas,DE0 A,gas,2269.84,2031
DE0 E gas,DE0 E,gas,1131.36,2031
DE0 2 gas,DE0 2,gas,1699.56,2030
DE0 9 gas,DE0 9,gas,1128.0,2030
DE0 A gas,DE0 A,gas,1986.1100000000001,2030
DE0 E gas,DE0 E,gas,1131.36,2030
DE0 2 gas,DE0 2,gas,1982.82,2029
DE0 9 gas,DE0 9,gas,1128.0,2029
DE0 A gas,DE0 A,gas,2269.84,2029
DE0 E gas,DE0 E,gas,1131.36,2029
DE0 2 gas,DE0 2,gas,1699.56,2028
DE0 9 gas,DE0 9,gas,1128.0,2028
DE0 A gas,DE0 A,gas,2269.84,2028
DE0 E gas,DE0 E,gas,1131.36,2028
DE0 2 gas,DE0 2,gas,1982.82,2027
DE0 9 gas,DE0 9,gas,1128.0,2027
DE0 A gas,DE0 A,gas,2269.84,2027
DE0 E gas,DE0 E,gas,848.52,2027
DE0 2 gas,DE0 2,gas,1699.56,2026
DE0 9 gas,DE0 9,gas,1128.0,2026
DE0 A gas,DE0 A,gas,2269.84,2026
DE0 E gas,DE0 E,gas,1131.36,2026
DE0 2 gas,DE0 2,gas,1982.82,2025
DE0 9 gas,DE0 9,gas,1128.0,2025
DE0 A gas,DE0 A,gas,1986.1100000000001,2025
DE0 E gas,DE0 E,gas,1131.36,2025
DE0 2 gas,DE0 2,gas,1699.56,2024
DE0 9 gas,DE0 9,gas,1128.0,2024
DE0 A gas,DE0 A,gas,2269.84,2024
DE0 E gas,DE0 E,gas,1131.36,2024
DE0 2 gas,DE0 2,gas,1982.82,2023
DE0 9 gas,DE0 9,gas,1128.0,2023
DE0 A gas,DE0 A,gas,2269.84,2023
DE0 E gas,DE0 E,gas,1131.36,2023
DE0 2 gas,DE0 2,gas,1699.56,2022
DE0 9 gas,DE0 9,gas,1128.0,2022
DE0 A gas,DE0 A,gas,2269.84,2022
DE0 E gas,DE0 E,gas,1131.36,2022
DE0 2 gas,DE0 2,gas,1982.82,2021
DE0 9 gas,DE0 9,gas,1410.0,2021
DE0 A gas,DE0 A,gas,2269.84,2021
DE0 E gas,DE0 E,gas,1131.36,2021
