,bus,carrier,p_nom,year_removed
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,2627.5,2075
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1645.41,2075
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,3162.47,2075
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1565.68,2075
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,2572.76,2074
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1611.14,2074
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,3096.59,2074
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1533.06,2074
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,2518.02,2073
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1576.86,2073
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,3030.7,2073
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1500.44,2073
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,2463.28,2072
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1542.58,2072
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,2964.82,2072
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1467.82,2072
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,2408.54,2071
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1508.3,2071
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,2898.93,2071
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1435.2,2071
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,8174.43,2070
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,2353.8,2070
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,5119.07,2070
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1474.02,2070
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,9838.8,2070
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,2833.05,2070
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,4870.99,2070
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1402.58,2070
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,8004.13,2069
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,2299.06,2069
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,5012.42,2069
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1439.74,2069
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,9633.82,2069
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,2767.16,2069
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,4769.51,2069
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1369.97,2069
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,7833.83,2068
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,2244.32,2068
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,4905.77,2068
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1405.46,2068
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,9428.85,2068
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,2701.28,2068
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,4668.03,2068
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1337.35,2068
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,7663.53,2067
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,2189.58,2067
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,4799.13,2067
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1371.18,2067
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,9223.87,2067
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,2635.39,2067
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,4566.55,2067
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1304.73,2067
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,7493.23,2066
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,2134.84,2066
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,4692.48,2066
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1336.9,2066
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,9018.9,2066
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,2569.51,2066
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,4465.08,2066
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1272.11,2066
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,7322.93,2065
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,2080.1,2065
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,4585.83,2065
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1302.62,2065
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,8813.92,2065
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,2503.62,2065
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,4363.6,2065
DE0 E ground_source_heat_pump,DE0 E,ground_source_heat_pump,1239.49,2065
DE0 2 air_source_heat_pump,DE0 2,air_source_heat_pump,7152.63,2064
DE0 2 ground_source_heat_pump,DE0 2,ground_source_heat_pump,2003.47,2064
DE0 9 air_source_heat_pump,DE0 9,air_source_heat_pump,4479.18,2064
DE0 9 ground_source_heat_pump,DE0 9,ground_source_heat_pump,1254.63,2064
DE0 A air_source_heat_pump,DE0 A,air_source_heat_pump,8608.95,2064
DE0 A ground_source_heat_pump,DE0 A,ground_source_heat_pump,2411.38,2064
DE0 E air_source_heat_pump,DE0 E,air_source_heat_pump,4262.12,2064
