,bus,carrier,p_nom,year_removed
DE0 2 solar_thermal,DE0 2,solar_thermal,17030.06,2075
DE0 9 solar_thermal,DE0 9,solar_thermal,10664.73,2075
DE0 A solar_thermal,DE0 A,solar_thermal,20497.5,2075
DE0 E solar_thermal,DE0 E,solar_thermal,10147.9,2075
DE0 2 solar_thermal,DE0 2,solar_thermal,16490.78,2074
DE0 9 solar_thermal,DE0 9,solar_thermal,10327.01,2074
DE0 A solar_thermal,DE0 A,solar_thermal,19848.41,2074
DE0 E solar_thermal,DE0 E,solar_thermal,9826.55,2074
DE0 2 solar_thermal,DE0 2,solar_thermal,15951.49,2073
DE0 9 solar_thermal,DE0 9,solar_thermal,9989.29,2073
DE0 A solar_thermal,DE0 A,solar_thermal,19199.32,2073
DE0 E solar_thermal,DE0 E,solar_thermal,9505.2,2073
DE0 2 solar_thermal,DE0 2,solar_thermal,15412.21,2072
DE0 9 solar_thermal,DE0 9,solar_thermal,9651.58,2072
DE0 A solar_thermal,DE0 A,solar_thermal,18550.23,2072
DE0 E solar_thermal,DE0 E,solar_thermal,9183.85,2072
DE0 2 solar_thermal,DE0 2,solar_thermal,14872.92,2071
DE0 9 solar_thermal,DE0 9,solar_thermal,9313.86,2071
DE0 A solar_thermal,DE0 A,solar_thermal,17901.15,2071
DE0 E solar_thermal,DE0 E,solar_thermal,8862.5,2071
DE0 2 solar_thermal,DE0 2,solar_thermal,14333.63,2070
DE0 9 solar_thermal,DE0 9,solar_thermal,8976.14,2070
DE0 A solar_thermal,DE0 A,solar_thermal,17252.06,2070
DE0 E solar_thermal,DE0 E,solar_thermal,8541.15,2070
DE0 2 solar_thermal,DE0 2,solar_thermal,13794.35,2069
DE0 9 solar_thermal,DE0 9,solar_thermal,8638.43,2069
DE0 A solar_thermal,DE0 A,solar_thermal,16602.97,2069
DE0 E solar_thermal,DE0 E,solar_thermal,8219.8,2069
DE0 2 solar_thermal,DE0 2,solar_thermal,13255.06,2068
DE0 9 solar_thermal,DE0 9,solar_thermal,8300.71,2068
DE0 A solar_thermal,DE0 A,solar_thermal,15953.88,2068
DE0 E solar_thermal,DE0 E,solar_thermal,7898.45,2068
DE0 2 solar_thermal,DE0 2,solar_thermal,12715.78,2067
DE0 9 solar_thermal,DE0 9,solar_thermal,7963.0,2067
DE0 A solar_thermal,DE0 A,solar_thermal,15304.8,2067
DE0 E solar_thermal,DE0 E,solar_thermal,7577.1,2067
DE0 2 solar_thermal,DE0 2,solar_thermal,12176.49,2066
DE0 9 solar_thermal,DE0 9,solar_thermal,7625.28,2066
DE0 A solar_thermal,DE0 A,solar_thermal,14655.71,2066
DE0 E solar_thermal,DE0 E,solar_thermal,7255.75,2066
DE0 2 solar_thermal,DE0 2,solar_thermal,11637.21,2065
DE0 9 solar_thermal,DE0 9,solar_thermal,7287.56,2065
DE0 A solar_thermal,DE0 A,solar_thermal,14006.62,2065
