NUTS2_Code,Region,Bundesland,,scaled to 536,,residential hotmaps 650,NUTS,Name,Bus,industry,scaled to 510,CO2,,,Cooling density total,,,,Heat density total,,,,,,Cooling density total,,,,,,Cooling density total
DE11,Stuttgart,Baden-Württemberg,,,,,DE5,Bremen,DE9,40878.20307,"93,190.70","19521599.00;""t/yr""",,,"indicator;""value"";""unit""",,,,"indicator;""value"";""unit""",,,,,,"indicator;""value"";""unit""",,,,,,"indicator;""value"";""unit"""
DE12,Karlsruhe,Baden-Württemberg,,98057.99888,,92612.69597,DE6,Hamburg,DE9,,,,,,"Theoretical cooling needs total;""32768.72695"";""GWh/yr""",,,cluster - 1,"Heat demand total;""133491.89885"";""GWh/yr""",,,,cluster 4,berlin,"Theoretical cooling needs total;""15850.292720000001"";""GWh/yr""",,,,cluster 3,badenwurttemburg,"Theoretical cooling needs total;""26034.04535"";""GWh/yr"""
DE13,Freiburg,Baden-Württemberg,,,,,DE9,Niedersachsen,DE9,,,,,,"Counted Cells;""1625881"";""cells""",,,bremen,"Counted Cells;""919462"";""cells""",,,,,,"Counted Cells;""1115142"";""cells""",,,,,,"Counted Cells;""1629164"";""cells"""
DE14,Tübingen,Baden-Württemberg,,,,,DE8,Mecklenburg-Vorpommern,DE9,,,,,,"Cooling density min;""0"";""MWh/(ha*yr)""",,,,"Heat density min;""0"";""MWh/(ha*yr)""",,,,,,"Cooling density min;""0"";""MWh/(ha*yr)""",,,,,,"Cooling density min;""0"";""MWh/(ha*yr)"""
DE21,Oberbayern,Bayern,,,,,DEF,Schleswig-Holstein,DE9,,,,,,"Cooling density max;""577.29"";""MWh/(ha*yr)""",,,,"Heat density max;""3221.33"";""MWh/(ha*yr)""",,,,,,"Cooling density max;""616.70"";""MWh/(ha*yr)""",,,,,,"Cooling density max;""642.27"";""MWh/(ha*yr)"""
DE22,Niederbayern,Bayern,,,,176776.6265,DE7,Hessen,DEA,79791.66199,"181,902.35","60084172.00"";""t/yr""",,,"Average cooling density;""20.1546349210059039"";""MWh/(ha*yr)""",,,,"Average heat density;""145.1846213764135984"";""MWh/(ha*yr)""",,,,,,"Average cooling density;""14.2138788244008386"";""MWh/(ha*yr)""",,,,,,"Average cooling density;""15.9803534941847475"";""MWh/(ha*yr)"""
DE23,Oberpfalz,Bayern,,187170.4744,,,DEA,Nordrhein-Westfalen,DEA,,,,,cluster 2,,,,,,,,,,,,,,,,,
DE24,Oberfranken,Bayern,,,,,DEB,Rheinland-Pfalz,DEA,,,,,,Heat density total,,,,Cooling density total,,,,,,Heat density total,,,,,,Heat density total
DE25,Mittelfranken,Bayern,,,,,DEC,Saarland,DEA,,,,,,"indicator;""value"";""unit""",,,,"indicator;""value"";""unit""",,,,,,"indicator;""value"";""unit""",,,,,,"indicator;""value"";""unit"""
DE26,Unterfranken,Bayern,,155122.908,,146508.7079,DE1,Baden-W�rttemberg,DE2,66657.42385,"151,960.01","19834246.00"";""t/yr""",,,"Heat demand total;""256568.28842"";""GWh/yr""",,,,"Theoretical cooling needs total;""10777.35281"";""GWh/yr""",,,,,,"Heat demand total;""127021.82734"";""GWh/yr""",,,,,,"Heat demand total;""213166.13204"";""GWh/yr"""
