NUTS0_code,process,month,daytype,hour,load
AT,iron_and_steel,1,0,1,112.9143218
AT,iron_and_steel,1,0,2,112.9143218
AT,iron_and_steel,1,0,3,112.9143218
AT,iron_and_steel,1,0,4,112.9143218
AT,iron_and_steel,1,0,5,112.9143218
AT,iron_and_steel,1,0,6,112.9143218
AT,iron_and_steel,1,0,7,115.2015017
AT,iron_and_steel,1,0,8,115.3238432
AT,iron_and_steel,1,0,9,115.4869651
AT,iron_and_steel,1,0,10,115.4869651
AT,iron_and_steel,1,0,11,115.4869651
AT,iron_and_steel,1,0,12,115.4869651
AT,iron_and_steel,1,0,13,115.4869651
AT,iron_and_steel,1,0,14,115.4869651
AT,iron_and_steel,1,0,15,115.3238432
AT,iron_and_steel,1,0,16,115.2015017
AT,iron_and_steel,1,0,17,115.0791603
AT,iron_and_steel,1,0,18,115.0791603
AT,iron_and_steel,1,0,19,115.0791603
AT,iron_and_steel,1,0,20,115.0791603
AT,iron_and_steel,1,0,21,115.0791603
AT,iron_and_steel,1,0,22,115.0791603
AT,iron_and_steel,1,0,23,112.9143218
AT,iron_and_steel,1,0,24,112.9143218
AT,iron_and_steel,1,1,1,112.9143223
AT,iron_and_steel,1,1,2,112.9143223
AT,iron_and_steel,1,1,3,112.9143223
AT,iron_and_steel,1,1,4,112.9143223
AT,iron_and_steel,1,1,5,112.9143223
AT,iron_and_steel,1,1,6,112.9143223
AT,iron_and_steel,1,1,7,115.2015022
AT,iron_and_steel,1,1,8,115.3238437
AT,iron_and_steel,1,1,9,115.4869656
AT,iron_and_steel,1,1,10,115.4869656
AT,iron_and_steel,1,1,11,115.4869656
AT,iron_and_steel,1,1,12,115.4869656
AT,iron_and_steel,1,1,13,115.4869656
AT,iron_and_steel,1,1,14,115.4869656
AT,iron_and_steel,1,1,15,115.3238437
AT,iron_and_steel,1,1,16,115.2015022
AT,iron_and_steel,1,1,17,115.0791608
AT,iron_and_steel,1,1,18,115.0791608
AT,iron_and_steel,1,1,19,115.0791608
AT,iron_and_steel,1,1,20,115.0791608
AT,iron_and_steel,1,1,21,115.0791608
AT,iron_and_steel,1,1,22,115.0791608
AT,iron_and_steel,1,1,23,112.9143223
AT,iron_and_steel,1,1,24,112.9143223
AT,iron_and_steel,1,2,1,112.04053
AT,iron_and_steel,1,2,2,112.04053
AT,iron_and_steel,1,2,3,112.04053
AT,iron_and_steel,1,2,4,112.04053
AT,iron_and_steel,1,2,5,112.04053
AT,iron_and_steel,1,2,6,112.04053
AT,iron_and_steel,1,2,7,114.3100105
AT,iron_and_steel,1,2,8,114.4314051
AT,iron_and_steel,1,2,9,114.5932647
AT,iron_and_steel,1,2,10,114.5932647
AT,iron_and_steel,1,2,11,114.5932647
AT,iron_and_steel,1,2,12,114.5932647
AT,iron_and_steel,1,2,13,114.5932647
AT,iron_and_steel,1,2,14,114.5932647
AT,iron_and_steel,1,2,15,114.4314051
AT,iron_and_steel,1,2,16,114.3100105
AT,iron_and_steel,1,2,17,114.1886158
AT,iron_and_steel,1,2,18,114.1886158
AT,iron_and_steel,1,2,19,114.1886158
AT,iron_and_steel,1,2,20,114.1886158
AT,iron_and_steel,1,2,21,114.1886158
AT,iron_and_steel,1,2,22,114.1886158
AT,iron_and_steel,1,2,23,112.04053
AT,iron_and_steel,1,2,24,112.04053
AT,iron_and_steel,2,0,1,112.6852019
AT,iron_and_steel,2,0,2,112.6852019
AT,iron_and_steel,2,0,3,112.6852019
AT,iron_and_steel,2,0,4,112.6852019
AT,iron_and_steel,2,0,5,112.6852019
AT,iron_and_steel,2,0,6,112.6852019
AT,iron_and_steel,2,0,7,114.9677408
AT,iron_and_steel,2,0,8,115.0898339
AT,iron_and_steel,2,0,9,115.2526248
