date,day_type,hour,load,scaled_load_MWh
1/1/2019 0:00,0,0,0.0,0.0
1/1/2019 1:00,0,1,9.88,62.05457938928747
1/1/2019 2:00,0,2,9.12,57.28115020549612
1/1/2019 3:00,0,3,7.98,50.12100642980911
1/1/2019 4:00,0,4,7.22,45.347577246017764
1/1/2019 5:00,0,5,6.84,42.96086265412209
1/1/2019 6:00,0,6,7.22,45.347577246017764
1/1/2019 7:00,0,7,7.6,47.73429183791343
1/1/2019 8:00,0,8,10.26,64.44129398118314
1/1/2019 9:00,0,9,12.54,78.76158153255716
1/1/2019 10:00,0,10,16.34,102.62872745151388
1/1/2019 11:00,0,11,19.0,119.33572959478359
1/1/2019 12:00,0,12,22.42,140.81616092184464
1/1/2019 13:00,0,13,25.84,162.29659224890568
1/1/2019 14:00,0,14,28.12,176.61687980027972
1/1/2019 15:00,0,15,30.02,188.55045275975806
1/1/2019 16:00,0,16,30.78,193.32388194354942
1/1/2019 17:00,0,17,31.54,198.09731112734073
1/1/2019 18:00,0,18,30.4,190.93716735165373
1/1/2019 19:00,0,19,28.5,179.0035943921754
1/1/2019 20:00,0,20,25.46,159.90987765701001
1/1/2019 21:00,0,21,22.04,138.42944632994895
1/1/2019 22:00,0,22,18.24,114.56230041099224
1/1/2019 23:00,0,23,15.96,100.24201285961821
1/2/2019 0:00,0,0,12.92,81.14829612445284
1/2/2019 1:00,0,1,9.88,62.05457938928747
1/2/2019 2:00,0,2,9.12,57.28115020549612
1/2/2019 3:00,0,3,7.98,50.12100642980911
1/2/2019 4:00,0,4,7.22,45.347577246017764
1/2/2019 5:00,0,5,6.84,42.96086265412209
1/2/2019 6:00,0,6,7.22,45.347577246017764
1/2/2019 7:00,0,7,7.6,47.73429183791343
1/2/2019 8:00,0,8,10.26,64.44129398118314
1/2/2019 9:00,0,9,12.54,78.76158153255716
1/2/2019 10:00,0,10,16.34,102.62872745151388
1/2/2019 11:00,0,11,19.0,119.33572959478359
1/2/2019 12:00,0,12,22.42,140.81616092184464
1/2/2019 13:00,0,13,25.84,162.29659224890568
1/2/2019 14:00,0,14,28.12,176.61687980027972
1/2/2019 15:00,0,15,30.02,188.55045275975806
1/2/2019 16:00,0,16,30.78,193.32388194354942
1/2/2019 17:00,0,17,31.54,198.09731112734073
1/2/2019 18:00,0,18,30.4,190.93716735165373
1/2/2019 19:00,0,19,28.5,179.0035943921754
1/2/2019 20:00,0,20,25.46,159.90987765701001
