date,day_type,hour,load,scaled_load_MWh
1/1/2019 0:00,0,0,0.0,0.0
1/1/2019 1:00,0,1,9497.72,3560.1139836616676
1/1/2019 2:00,0,2,9492.4,3558.1198412366352
1/1/2019 3:00,0,3,9525.46,3570.512012020766
1/1/2019 4:00,0,4,9649.34,3616.9470427750957
1/1/2019 5:00,0,5,9663.4,3622.2172763269673
1/1/2019 6:00,0,6,9681.64,3629.0543360699357
1/1/2019 7:00,0,7,9722.3,3644.29528174697
1/1/2019 8:00,0,8,9721.54,3644.0104042576804
1/1/2019 9:00,0,9,9563.46,3584.755886485284
1/1/2019 10:00,0,10,9364.34,3510.1179842912093
1/1/2019 11:00,0,11,9045.9,3390.754316278547
1/1/2019 12:00,0,12,8674.64,3251.5916627602046
1/1/2019 13:00,0,13,8358.48,3133.0826272154136
1/1/2019 14:00,0,14,8233.08,3086.0778414825036
1/1/2019 15:00,0,15,8204.96,3075.53737437876
1/1/2019 16:00,0,16,8244.48,3090.351003821859
1/1/2019 17:00,0,17,8386.22,3143.4806555745117
1/1/2019 18:00,0,18,8537.08,3200.028837198649
1/1/2019 19:00,0,19,8765.08,3285.4920839857577
1/1/2019 20:00,0,20,9092.64,3408.2742818699044
1/1/2019 21:00,0,21,9344.96,3502.853608314305
1/1/2019 22:00,0,22,9512.16,3565.526655958185
1/1/2019 23:00,0,23,9512.16,3565.526655958185
1/2/2019 0:00,0,0,9504.94,3562.820319809927
1/2/2019 1:00,0,1,9497.72,3560.1139836616676
1/2/2019 2:00,0,2,9492.4,3558.1198412366352
1/2/2019 3:00,0,3,9525.46,3570.512012020766
1/2/2019 4:00,0,4,9649.34,3616.9470427750957
1/2/2019 5:00,0,5,9663.4,3622.2172763269673
1/2/2019 6:00,0,6,9681.64,3629.0543360699357
1/2/2019 7:00,0,7,9722.3,3644.29528174697
1/2/2019 8:00,0,8,9721.54,3644.0104042576804
1/2/2019 9:00,0,9,9563.46,3584.755886485284
1/2/2019 10:00,0,10,9364.34,3510.1179842912093
1/2/2019 11:00,0,11,9045.9,3390.754316278547
1/2/2019 12:00,0,12,8674.64,3251.5916627602046
1/2/2019 13:00,0,13,8358.48,3133.0826272154136
1/2/2019 14:00,0,14,8233.08,3086.0778414825036
1/2/2019 15:00,0,15,8204.96,3075.53737437876
1/2/2019 16:00,0,16,8244.48,3090.351003821859
1/2/2019 17:00,0,17,8386.22,3143.4806555745117
1/2/2019 18:00,0,18,8537.08,3200.028837198649
1/2/2019 19:00,0,19,8765.08,3285.4920839857577
1/2/2019 20:00,0,20,9092.64,3408.2742818699044
1/2/2019 21:00,0,21,9344.96,3502.853608314305
1/2/2019 22:00,0,22,9512.16,3565.526655958185
1/2/2019 23:00,0,23,9512.16,3565.526655958185
1/3/2019 0:00,0,0,9504.94,3562.820319809927
1/3/2019 1:00,0,1,9497.72,3560.1139836616676
1/3/2019 2:00,0,2,9492.4,3558.1198412366352
1/3/2019 3:00,0,3,9525.46,3570.512012020766
1/3/2019 4:00,0,4,9649.34,3616.9470427750957
1/3/2019 5:00,0,5,9663.4,3622.2172763269673
1/3/2019 6:00,0,6,9681.64,3629.0543360699357
