date,day_type,hour,load,scaled_load_MWh
1/1/2019 0:00,0,0,0.0,0.0
1/1/2019 1:00,0,1,112831.5,18374.581795705744
1/1/2019 2:00,0,2,44095.96,7181.016151342211
1/1/2019 3:00,0,3,17133.44,2790.1764553499384
1/1/2019 4:00,0,4,22047.98,3590.5080756711054
1/1/2019 5:00,0,5,66211.2,10782.477501334575
1/1/2019 6:00,0,6,225863.26,36781.77588275219
1/1/2019 7:00,0,7,471584.94,76797.49053812974
1/1/2019 8:00,0,8,619018.86,100807.06785033012
1/1/2019 9:00,0,9,614105.46,100006.92187872625
1/1/2019 10:00,0,10,476501.0,77598.06969007399
1/1/2019 11:00,0,11,392955.34,63992.67967623723
1/1/2019 12:00,0,12,353639.4,57590.088596573674
1/1/2019 13:00,0,13,358553.18,58390.2964510833
1/1/2019 14:00,0,14,363467.34,59190.5661884987
1/1/2019 15:00,0,15,333981.62,54388.82399819477
1/1/2019 16:00,0,16,294666.06,47986.294801436976
1/1/2019 17:00,0,17,270093.74,43984.69858273691
1/1/2019 18:00,0,18,348724.1,56789.63321044096
1/1/2019 19:00,0,19,442098.84,71995.68646492006
1/1/2019 20:00,0,20,510901.26,83200.14350069907
1/1/2019 21:00,0,21,466671.54,75997.34456652588
1/1/2019 22:00,0,22,447013.0,72795.95620233544
1/1/2019 23:00,0,23,358552.8,58390.234568177526
1/2/2019 0:00,0,0,235691.96,38382.37724048875
1/2/2019 1:00,0,1,112831.5,18374.581795705744
1/2/2019 2:00,0,2,44095.96,7181.016151342211
1/2/2019 3:00,0,3,17133.44,2790.1764553499384
1/2/2019 4:00,0,4,22047.98,3590.5080756711054
1/2/2019 5:00,0,5,66211.2,10782.477501334575
1/2/2019 6:00,0,6,225863.26,36781.77588275219
1/2/2019 7:00,0,7,471584.94,76797.49053812974
1/2/2019 8:00,0,8,619018.86,100807.06785033012
1/2/2019 9:00,0,9,614105.46,100006.92187872625
1/2/2019 10:00,0,10,476501.0,77598.06969007399
1/2/2019 11:00,0,11,392955.34,63992.67967623723
1/2/2019 12:00,0,12,353639.4,57590.088596573674
1/2/2019 13:00,0,13,358553.18,58390.2964510833
1/2/2019 14:00,0,14,363467.34,59190.5661884987
1/2/2019 15:00,0,15,333981.62,54388.82399819477
1/2/2019 16:00,0,16,294666.06,47986.294801436976
1/2/2019 17:00,0,17,270093.74,43984.69858273691
1/2/2019 18:00,0,18,348724.1,56789.63321044096
1/2/2019 19:00,0,19,442098.84,71995.68646492006
1/2/2019 20:00,0,20,510901.26,83200.14350069907
1/2/2019 21:00,0,21,466671.54,75997.34456652588
1/2/2019 22:00,0,22,447013.0,72795.95620233544
1/2/2019 23:00,0,23,358552.8,58390.234568177526
1/3/2019 0:00,0,0,235691.96,38382.37724048875
1/3/2019 1:00,0,1,112831.5,18374.581795705744
1/3/2019 2:00,0,2,44095.96,7181.016151342211
1/3/2019 3:00,0,3,17133.44,2790.1764553499384
1/3/2019 4:00,0,4,22047.98,3590.5080756711054
1/3/2019 5:00,0,5,66211.2,10782.477501334575
1/3/2019 6:00,0,6,225863.26,36781.77588275219
1/3/2019 7:00,0,7,471584.94,76797.49053812974
1/3/2019 8:00,0,8,619018.86,100807.06785033012
1/3/2019 9:00,0,9,614105.46,100006.92187872625
1/3/2019 10:00,0,10,476501.0,77598.06969007399
1/3/2019 11:00,0,11,392955.34,63992.67967623723
1/3/2019 12:00,0,12,353639.4,57590.088596573674
1/3/2019 13:00,0,13,358553.18,58390.2964510833
1/3/2019 14:00,0,14,363467.34,59190.5661884987
1/3/2019 15:00,0,15,333981.62,54388.82399819477
1/3/2019 16:00,0,16,294666.06,47986.294801436976
1/3/2019 17:00,0,17,270093.74,43984.69858273691
1/3/2019 18:00,0,18,348724.1,56789.63321044096
1/3/2019 19:00,0,19,442098.84,71995.68646492006
1/3/2019 20:00,0,20,510901.26,83200.14350069907
1/3/2019 21:00,0,21,466671.54,75997.34456652588
1/3/2019 22:00,0,22,447013.0,72795.95620233544
1/3/2019 23:00,0,23,358552.8,58390.234568177526
1/4/2019 0:00,0,0,235691.96,38382.37724048875
1/4/2019 1:00,0,1,112831.5,18374.581795705744
1/4/2019 2:00,0,2,44095.96,7181.016151342211
1/4/2019 3:00,0,3,17133.44,2790.1764553499384
1/4/2019 4:00,0,4,22047.98,3590.5080756711054
1/4/2019 5:00,0,5,66211.2,10782.477501334575
1/4/2019 6:00,0,6,225863.26,36781.77588275219
1/4/2019 7:00,0,7,471584.94,76797.49053812974
1/4/2019 8:00,0,8,619018.86,100807.06785033012
1/4/2019 9:00,0,9,614105.46,100006.92187872625
1/4/2019 10:00,0,10,476501.0,77598.06969007399
1/4/2019 11:00,0,11,392955.34,63992.67967623723
1/4/2019 12:00,0,12,353639.4,57590.088596573674
1/4/2019 13:00,0,13,358553.18,58390.2964510833
1/4/2019 14:00,0,14,363467.34,59190.5661884987
1/4/2019 15:00,0,15,333981.62,54388.82399819477
1/4/2019 16:00,0,16,294666.06,47986.294801436976
1/4/2019 17:00,0,17,270093.74,43984.69858273691
1/4/2019 18:00,0,18,348724.1,56789.63321044096
1/4/2019 19:00,0,19,442098.84,71995.68646492006
1/4/2019 20:00,0,20,510901.26,83200.14350069907
1/4/2019 21:00,0,21,466671.54,75997.34456652588
1/4/2019 22:00,0,22,447013.0,72795.95620233544
1/4/2019 23:00,0,23,358552.8,58390.234568177526
1/5/2019 0:00,1,0,265843.06,43292.47639879563
1/5/2019 1:00,1,1,173133.7,28194.780112319517
1/5/2019 2:00,1,2,81088.58,13205.255145129055
1/5/2019 3:00,1,3,46687.18,7602.995685786658
1/5/2019 4:00,1,4,17200.7,2801.129729671198
1/5/2019 5:00,1,5,27029.4,4401.731087407762
1/5/2019 6:00,1,6,66344.96,10804.260284165555
1/5/2019 7:00,1,7,144976.46,23609.38056058691
1/5/2019 8:00,1,8,324353.56,52820.896814704676
1/5/2019 9:00,1,9,579905.46,94437.46035944186
1/5/2019 10:00,1,10,756824.34,123248.65609613463
1/5/2019 11:00,1,11,742080.34,120847.59935226536
1/5/2019 12:00,1,12,643789.54,104840.96694584204
1/5/2019 13:00,1,13,604474.74,98438.56151489577
1/5/2019 14:00,1,14,653621.66,106442.12524973052
1/5/2019 15:00,1,15,609393.46,99239.5738471804
1/5/2019 16:00,1,16,604477.4,98438.99469523616
1/5/2019 17:00,1,17,658536.2,107242.45687005168
1/5/2019 18:00,1,18,801055.2,130451.64067902512
1/5/2019 19:00,1,19,894431.46,145657.94146512728
1/5/2019 20:00,1,20,810884.66,132052.36580257324
1/5/2019 21:00,1,21,614306.86,100039.71981878426
1/5/2019 22:00,1,22,412813.0,67226.49468305106
1/5/2019 23:00,1,23,275208.92,44817.704377304544
1/6/2019 0:00,2,0,218693.04,35614.10733378133
1/6/2019 1:00,2,1,162176.78,26410.448407352338
1/6/2019 2:00,2,2,113032.14,18407.255969952213
1/6/2019 3:00,2,3,68802.42,11204.457035779022
1/6/2019 4:00,2,4,24572.32,4001.5962187000628
1/6/2019 5:00,2,5,22114.86,3601.399467086595
1/6/2019 6:00,2,6,22114.86,3601.399467086595
1/6/2019 7:00,2,7,90917.28,14805.856502865618
1/6/2019 8:00,2,8,270294.0,44017.310874077615
1/6/2019 9:00,2,9,560246.54,91236.01011234567
1/6/2019 10:00,2,10,860027.4,140055.24882544452
1/6/2019 11:00,2,11,977975.6,159263.08394734096
1/6/2019 12:00,2,12,963231.6,156862.0272034717
1/6/2019 13:00,2,13,840370.0,136854.0461099714
1/6/2019 14:00,2,14,697851.0,113644.86230099793
1/6/2019 15:00,2,15,516017.2,84033.27306107825
1/6/2019 16:00,2,16,348925.5,56822.43115049897
1/6/2019 17:00,2,17,289952.16,47218.637355362276
1/6/2019 18:00,2,18,334182.26,54421.49817244124
1/6/2019 19:00,2,19,432471.16,70427.82116433572
1/6/2019 20:00,2,20,461958.02,75229.74900335695
1/6/2019 21:00,2,21,432470.4,70427.6973985242
1/6/2019 22:00,2,22,417727.16,68026.76442046645
1/6/2019 23:00,2,23,334181.88,54421.43628953547
1/7/2019 0:00,0,0,223506.88,36398.03998407349
1/7/2019 1:00,0,1,112831.5,18374.581795705744
1/7/2019 2:00,0,2,44095.96,7181.016151342211
1/7/2019 3:00,0,3,17133.44,2790.1764553499384
1/7/2019 4:00,0,4,22047.98,3590.5080756711054
1/7/2019 5:00,0,5,66211.2,10782.477501334575
1/7/2019 6:00,0,6,225863.26,36781.77588275219
1/7/2019 7:00,0,7,471584.94,76797.49053812974
1/7/2019 8:00,0,8,619018.86,100807.06785033012
1/7/2019 9:00,0,9,614105.46,100006.92187872625
1/7/2019 10:00,0,10,476501.0,77598.06969007399
1/7/2019 11:00,0,11,392955.34,63992.67967623723
1/7/2019 12:00,0,12,353639.4,57590.088596573674
1/7/2019 13:00,0,13,358553.18,58390.2964510833
1/7/2019 14:00,0,14,363467.34,59190.5661884987
1/7/2019 15:00,0,15,333981.62,54388.82399819477
1/7/2019 16:00,0,16,294666.06,47986.294801436976
1/7/2019 17:00,0,17,270093.74,43984.69858273691
1/7/2019 18:00,0,18,348724.1,56789.63321044096
1/7/2019 19:00,0,19,442098.84,71995.68646492006
1/7/2019 20:00,0,20,510901.26,83200.14350069907
1/7/2019 21:00,0,21,466671.54,75997.34456652588
1/7/2019 22:00,0,22,447013.0,72795.95620233544
1/7/2019 23:00,0,23,358552.8,58390.234568177526
1/8/2019 0:00,0,0,235691.96,38382.37724048875
1/8/2019 1:00,0,1,112831.5,18374.581795705744
1/8/2019 2:00,0,2,44095.96,7181.016151342211
1/8/2019 3:00,0,3,17133.44,2790.1764553499384
1/8/2019 4:00,0,4,22047.98,3590.5080756711054
1/8/2019 5:00,0,5,66211.2,10782.477501334575
1/8/2019 6:00,0,6,225863.26,36781.77588275219
1/8/2019 7:00,0,7,471584.94,76797.49053812974
1/8/2019 8:00,0,8,619018.86,100807.06785033012
1/8/2019 9:00,0,9,614105.46,100006.92187872625
1/8/2019 10:00,0,10,476501.0,77598.06969007399
1/8/2019 11:00,0,11,392955.34,63992.67967623723
1/8/2019 12:00,0,12,353639.4,57590.088596573674
1/8/2019 13:00,0,13,358553.18,58390.2964510833
1/8/2019 14:00,0,14,363467.34,59190.5661884987
1/8/2019 15:00,0,15,333981.62,54388.82399819477
1/8/2019 16:00,0,16,294666.06,47986.294801436976
1/8/2019 17:00,0,17,270093.74,43984.69858273691
1/8/2019 18:00,0,18,348724.1,56789.63321044096
1/8/2019 19:00,0,19,442098.84,71995.68646492006
1/8/2019 20:00,0,20,510901.26,83200.14350069907
1/8/2019 21:00,0,21,466671.54,75997.34456652588
1/8/2019 22:00,0,22,447013.0,72795.95620233544
1/8/2019 23:00,0,23,358552.8,58390.234568177526
1/9/2019 0:00,0,0,235691.96,38382.37724048875
1/9/2019 1:00,0,1,112831.5,18374.581795705744
1/9/2019 2:00,0,2,44095.96,7181.016151342211
1/9/2019 3:00,0,3,17133.44,2790.1764553499384
1/9/2019 4:00,0,4,22047.98,3590.5080756711054
1/9/2019 5:00,0,5,66211.2,10782.477501334575
1/9/2019 6:00,0,6,225863.26,36781.77588275219
1/9/2019 7:00,0,7,471584.94,76797.49053812974
1/9/2019 8:00,0,8,619018.86,100807.06785033012
1/9/2019 9:00,0,9,614105.46,100006.92187872625
1/9/2019 10:00,0,10,476501.0,77598.06969007399
1/9/2019 11:00,0,11,392955.34,63992.67967623723
1/9/2019 12:00,0,12,353639.4,57590.088596573674
1/9/2019 13:00,0,13,358553.18,58390.2964510833
1/9/2019 14:00,0,14,363467.34,59190.5661884987
1/9/2019 15:00,0,15,333981.62,54388.82399819477
1/9/2019 16:00,0,16,294666.06,47986.294801436976
1/9/2019 17:00,0,17,270093.74,43984.69858273691
1/9/2019 18:00,0,18,348724.1,56789.63321044096
1/9/2019 19:00,0,19,442098.84,71995.68646492006
1/9/2019 20:00,0,20,510901.26,83200.14350069907
1/9/2019 21:00,0,21,466671.54,75997.34456652588
1/9/2019 22:00,0,22,447013.0,72795.95620233544
1/9/2019 23:00,0,23,358552.8,58390.234568177526
1/10/2019 0:00,0,0,235691.96,38382.37724048875
1/10/2019 1:00,0,1,112831.5,18374.581795705744
1/10/2019 2:00,0,2,44095.96,7181.016151342211
1/10/2019 3:00,0,3,17133.44,2790.1764553499384
1/10/2019 4:00,0,4,22047.98,3590.5080756711054
1/10/2019 5:00,0,5,66211.2,10782.477501334575
1/10/2019 6:00,0,6,225863.26,36781.77588275219
1/10/2019 7:00,0,7,471584.94,76797.49053812974
1/10/2019 8:00,0,8,619018.86,100807.06785033012
1/10/2019 9:00,0,9,614105.46,100006.92187872625
1/10/2019 10:00,0,10,476501.0,77598.06969007399
1/10/2019 11:00,0,11,392955.34,63992.67967623723
1/10/2019 12:00,0,12,353639.4,57590.088596573674
1/10/2019 13:00,0,13,358553.18,58390.2964510833
1/10/2019 14:00,0,14,363467.34,59190.5661884987
1/10/2019 15:00,0,15,333981.62,54388.82399819477
1/10/2019 16:00,0,16,294666.06,47986.294801436976
1/10/2019 17:00,0,17,270093.74,43984.69858273691
1/10/2019 18:00,0,18,348724.1,56789.63321044096
1/10/2019 19:00,0,19,442098.84,71995.68646492006
1/10/2019 20:00,0,20,510901.26,83200.14350069907
1/10/2019 21:00,0,21,466671.54,75997.34456652588
1/10/2019 22:00,0,22,447013.0,72795.95620233544
1/10/2019 23:00,0,23,358552.8,58390.234568177526
1/11/2019 0:00,0,0,235691.96,38382.37724048875
1/11/2019 1:00,0,1,112831.5,18374.581795705744
1/11/2019 2:00,0,2,44095.96,7181.016151342211
1/11/2019 3:00,0,3,17133.44,2790.1764553499384
1/11/2019 4:00,0,4,22047.98,3590.5080756711054
1/11/2019 5:00,0,5,66211.2,10782.477501334575
1/11/2019 6:00,0,6,225863.26,36781.77588275219
1/11/2019 7:00,0,7,471584.94,76797.49053812974
1/11/2019 8:00,0,8,619018.86,100807.06785033012
1/11/2019 9:00,0,9,614105.46,100006.92187872625
1/11/2019 10:00,0,10,476501.0,77598.06969007399
1/11/2019 11:00,0,11,392955.34,63992.67967623723
1/11/2019 12:00,0,12,353639.4,57590.088596573674
1/11/2019 13:00,0,13,358553.18,58390.2964510833
1/11/2019 14:00,0,14,363467.34,59190.5661884987
1/11/2019 15:00,0,15,333981.62,54388.82399819477
1/11/2019 16:00,0,16,294666.06,47986.294801436976
1/11/2019 17:00,0,17,270093.74,43984.69858273691
1/11/2019 18:00,0,18,348724.1,56789.63321044096
1/11/2019 19:00,0,19,442098.84,71995.68646492006
1/11/2019 20:00,0,20,510901.26,83200.14350069907
1/11/2019 21:00,0,21,466671.54,75997.34456652588
1/11/2019 22:00,0,22,447013.0,72795.95620233544
1/11/2019 23:00,0,23,358552.8,58390.234568177526
1/12/2019 0:00,1,0,265843.06,43292.47639879563
1/12/2019 1:00,1,1,173133.7,28194.780112319517
1/12/2019 2:00,1,2,81088.58,13205.255145129055
1/12/2019 3:00,1,3,46687.18,7602.995685786658
1/12/2019 4:00,1,4,17200.7,2801.129729671198
1/12/2019 5:00,1,5,27029.4,4401.731087407762
1/12/2019 6:00,1,6,66344.96,10804.260284165555
1/12/2019 7:00,1,7,144976.46,23609.38056058691
1/12/2019 8:00,1,8,324353.56,52820.896814704676
1/12/2019 9:00,1,9,579905.46,94437.46035944186
1/12/2019 10:00,1,10,756824.34,123248.65609613463
1/12/2019 11:00,1,11,742080.34,120847.59935226536
1/12/2019 12:00,1,12,643789.54,104840.96694584204
1/12/2019 13:00,1,13,604474.74,98438.56151489577
1/12/2019 14:00,1,14,653621.66,106442.12524973052
1/12/2019 15:00,1,15,609393.46,99239.5738471804
1/12/2019 16:00,1,16,604477.4,98438.99469523616
1/12/2019 17:00,1,17,658536.2,107242.45687005168
1/12/2019 18:00,1,18,801055.2,130451.64067902512
1/12/2019 19:00,1,19,894431.46,145657.94146512728
1/12/2019 20:00,1,20,810884.66,132052.36580257324
1/12/2019 21:00,1,21,614306.86,100039.71981878426
1/12/2019 22:00,1,22,412813.0,67226.49468305106
1/12/2019 23:00,1,23,275208.92,44817.704377304544
1/13/2019 0:00,2,0,218693.04,35614.10733378133
1/13/2019 1:00,2,1,162176.78,26410.448407352338
1/13/2019 2:00,2,2,113032.14,18407.255969952213
