date,day_type,hour,load
1/1/2019 0:00,0,0,0
1/1/2019 1:00,0,1,9.88
1/1/2019 2:00,0,2,9.12
1/1/2019 3:00,0,3,7.98
1/1/2019 4:00,0,4,7.22
1/1/2019 5:00,0,5,6.84
1/1/2019 6:00,0,6,7.22
1/1/2019 7:00,0,7,7.6
1/1/2019 8:00,0,8,10.26
1/1/2019 9:00,0,9,12.54
1/1/2019 10:00,0,10,16.34
1/1/2019 11:00,0,11,19
1/1/2019 12:00,0,12,22.42
1/1/2019 13:00,0,13,25.84
1/1/2019 14:00,0,14,28.12
1/1/2019 15:00,0,15,30.02
1/1/2019 16:00,0,16,30.78
1/1/2019 17:00,0,17,31.54
1/1/2019 18:00,0,18,30.4
1/1/2019 19:00,0,19,28.5
1/1/2019 20:00,0,20,25.46
1/1/2019 21:00,0,21,22.04
1/1/2019 22:00,0,22,18.24
1/1/2019 23:00,0,23,15.96
1/2/2019 0:00,0,0,12.92
1/2/2019 1:00,0,1,9.88
1/2/2019 2:00,0,2,9.12
1/2/2019 3:00,0,3,7.98
1/2/2019 4:00,0,4,7.22
1/2/2019 5:00,0,5,6.84
1/2/2019 6:00,0,6,7.22
1/2/2019 7:00,0,7,7.6
1/2/2019 8:00,0,8,10.26
1/2/2019 9:00,0,9,12.54
1/2/2019 10:00,0,10,16.34
1/2/2019 11:00,0,11,19
1/2/2019 12:00,0,12,22.42
1/2/2019 13:00,0,13,25.84
1/2/2019 14:00,0,14,28.12
1/2/2019 15:00,0,15,30.02
1/2/2019 16:00,0,16,30.78
1/2/2019 17:00,0,17,31.54
1/2/2019 18:00,0,18,30.4
1/2/2019 19:00,0,19,28.5
1/2/2019 20:00,0,20,25.46
1/2/2019 21:00,0,21,22.04
1/2/2019 22:00,0,22,18.24
1/2/2019 23:00,0,23,15.96
1/3/2019 0:00,0,0,12.92
1/3/2019 1:00,0,1,9.88
1/3/2019 2:00,0,2,9.12
1/3/2019 3:00,0,3,7.98
1/3/2019 4:00,0,4,7.22
1/3/2019 5:00,0,5,6.84
1/3/2019 6:00,0,6,7.22
1/3/2019 7:00,0,7,7.6
1/3/2019 8:00,0,8,10.26
1/3/2019 9:00,0,9,12.54
1/3/2019 10:00,0,10,16.34
1/3/2019 11:00,0,11,19
1/3/2019 12:00,0,12,22.42
1/3/2019 13:00,0,13,25.84
1/3/2019 14:00,0,14,28.12
1/3/2019 15:00,0,15,30.02
1/3/2019 16:00,0,16,30.78
1/3/2019 17:00,0,17,31.54
1/3/2019 18:00,0,18,30.4
1/3/2019 19:00,0,19,28.5
1/3/2019 20:00,0,20,25.46
1/3/2019 21:00,0,21,22.04
1/3/2019 22:00,0,22,18.24
1/3/2019 23:00,0,23,15.96
1/4/2019 0:00,0,0,12.92
1/4/2019 1:00,0,1,9.88
1/4/2019 2:00,0,2,9.12
1/4/2019 3:00,0,3,7.98
1/4/2019 4:00,0,4,7.22
1/4/2019 5:00,0,5,6.84
1/4/2019 6:00,0,6,7.22
1/4/2019 7:00,0,7,7.6
1/4/2019 8:00,0,8,10.26
1/4/2019 9:00,0,9,12.54
1/4/2019 10:00,0,10,16.34
1/4/2019 11:00,0,11,19
1/4/2019 12:00,0,12,22.42
1/4/2019 13:00,0,13,25.84
1/4/2019 14:00,0,14,28.12
1/4/2019 15:00,0,15,30.02
1/4/2019 16:00,0,16,30.78
1/4/2019 17:00,0,17,31.54
1/4/2019 18:00,0,18,30.4
1/4/2019 19:00,0,19,28.5
1/4/2019 20:00,0,20,25.46
1/4/2019 21:00,0,21,22.04
1/4/2019 22:00,0,22,18.24
1/4/2019 23:00,0,23,15.96
1/5/2019 0:00,1,0,12.92
1/5/2019 1:00,1,1,9.88
1/5/2019 2:00,1,2,9.12
1/5/2019 3:00,1,3,7.98
1/5/2019 4:00,1,4,7.22
1/5/2019 5:00,1,5,6.84
1/5/2019 6:00,1,6,7.22
1/5/2019 7:00,1,7,7.6
1/5/2019 8:00,1,8,10.26
1/5/2019 9:00,1,9,12.54
1/5/2019 10:00,1,10,16.34
1/5/2019 11:00,1,11,19
1/5/2019 12:00,1,12,22.42
1/5/2019 13:00,1,13,25.84
1/5/2019 14:00,1,14,28.12
1/5/2019 15:00,1,15,30.02
1/5/2019 16:00,1,16,30.78
1/5/2019 17:00,1,17,31.54
1/5/2019 18:00,1,18,30.4
1/5/2019 19:00,1,19,28.5
1/5/2019 20:00,1,20,25.46
1/5/2019 21:00,1,21,22.04
1/5/2019 22:00,1,22,18.24
1/5/2019 23:00,1,23,15.96
1/6/2019 0:00,2,0,12.92
1/6/2019 1:00,2,1,9.88
1/6/2019 2:00,2,2,9.12
1/6/2019 3:00,2,3,7.98
1/6/2019 4:00,2,4,7.22
1/6/2019 5:00,2,5,6.84
1/6/2019 6:00,2,6,7.22
