date,day_type,hour,load
1/1/2019 0:00,0,0,0
1/1/2019 1:00,0,1,9497.72
1/1/2019 2:00,0,2,9492.4
1/1/2019 3:00,0,3,9525.46
1/1/2019 4:00,0,4,9649.34
1/1/2019 5:00,0,5,9663.4
1/1/2019 6:00,0,6,9681.64
1/1/2019 7:00,0,7,9722.3
1/1/2019 8:00,0,8,9721.54
1/1/2019 9:00,0,9,9563.46
1/1/2019 10:00,0,10,9364.34
1/1/2019 11:00,0,11,9045.9
1/1/2019 12:00,0,12,8674.64
1/1/2019 13:00,0,13,8358.48
1/1/2019 14:00,0,14,8233.08
1/1/2019 15:00,0,15,8204.96
1/1/2019 16:00,0,16,8244.48
1/1/2019 17:00,0,17,8386.22
1/1/2019 18:00,0,18,8537.08
1/1/2019 19:00,0,19,8765.08
1/1/2019 20:00,0,20,9092.64
1/1/2019 21:00,0,21,9344.96
1/1/2019 22:00,0,22,9512.16
1/1/2019 23:00,0,23,9512.16
1/2/2019 0:00,0,0,9504.94
1/2/2019 1:00,0,1,9497.72
1/2/2019 2:00,0,2,9492.4
1/2/2019 3:00,0,3,9525.46
1/2/2019 4:00,0,4,9649.34
1/2/2019 5:00,0,5,9663.4
1/2/2019 6:00,0,6,9681.64
1/2/2019 7:00,0,7,9722.3
1/2/2019 8:00,0,8,9721.54
1/2/2019 9:00,0,9,9563.46
1/2/2019 10:00,0,10,9364.34
1/2/2019 11:00,0,11,9045.9
1/2/2019 12:00,0,12,8674.64
1/2/2019 13:00,0,13,8358.48
1/2/2019 14:00,0,14,8233.08
1/2/2019 15:00,0,15,8204.96
1/2/2019 16:00,0,16,8244.48
1/2/2019 17:00,0,17,8386.22
1/2/2019 18:00,0,18,8537.08
1/2/2019 19:00,0,19,8765.08
1/2/2019 20:00,0,20,9092.64
1/2/2019 21:00,0,21,9344.96
1/2/2019 22:00,0,22,9512.16
1/2/2019 23:00,0,23,9512.16
1/3/2019 0:00,0,0,9504.94
1/3/2019 1:00,0,1,9497.72
1/3/2019 2:00,0,2,9492.4
1/3/2019 3:00,0,3,9525.46
1/3/2019 4:00,0,4,9649.34
1/3/2019 5:00,0,5,9663.4
1/3/2019 6:00,0,6,9681.64
1/3/2019 7:00,0,7,9722.3
1/3/2019 8:00,0,8,9721.54
1/3/2019 9:00,0,9,9563.46
1/3/2019 10:00,0,10,9364.34
1/3/2019 11:00,0,11,9045.9
1/3/2019 12:00,0,12,8674.64
1/3/2019 13:00,0,13,8358.48
1/3/2019 14:00,0,14,8233.08
1/3/2019 15:00,0,15,8204.96
1/3/2019 16:00,0,16,8244.48
1/3/2019 17:00,0,17,8386.22
1/3/2019 18:00,0,18,8537.08
1/3/2019 19:00,0,19,8765.08
1/3/2019 20:00,0,20,9092.64
1/3/2019 21:00,0,21,9344.96
1/3/2019 22:00,0,22,9512.16
1/3/2019 23:00,0,23,9512.16
1/4/2019 0:00,0,0,9504.94
1/4/2019 1:00,0,1,9497.72
1/4/2019 2:00,0,2,9492.4
1/4/2019 3:00,0,3,9525.46
1/4/2019 4:00,0,4,9649.34
1/4/2019 5:00,0,5,9663.4
1/4/2019 6:00,0,6,9681.64
1/4/2019 7:00,0,7,9722.3
1/4/2019 8:00,0,8,9721.54
1/4/2019 9:00,0,9,9563.46
1/4/2019 10:00,0,10,9364.34
1/4/2019 11:00,0,11,9045.9
1/4/2019 12:00,0,12,8674.64
1/4/2019 13:00,0,13,8358.48
1/4/2019 14:00,0,14,8233.08
1/4/2019 15:00,0,15,8204.96
1/4/2019 16:00,0,16,8244.48
1/4/2019 17:00,0,17,8386.22
1/4/2019 18:00,0,18,8537.08
1/4/2019 19:00,0,19,8765.08
1/4/2019 20:00,0,20,9092.64
1/4/2019 21:00,0,21,9344.96
1/4/2019 22:00,0,22,9512.16
1/4/2019 23:00,0,23,9512.16
