date,day_type,hour,load
1/1/2019 0:00,0,0,0
1/1/2019 1:00,0,1,112831.5
1/1/2019 2:00,0,2,44095.96
1/1/2019 3:00,0,3,17133.44
1/1/2019 4:00,0,4,22047.98
1/1/2019 5:00,0,5,66211.2
1/1/2019 6:00,0,6,225863.26
1/1/2019 7:00,0,7,471584.94
1/1/2019 8:00,0,8,619018.86
1/1/2019 9:00,0,9,614105.46
1/1/2019 10:00,0,10,476501
1/1/2019 11:00,0,11,392955.34
1/1/2019 12:00,0,12,353639.4
1/1/2019 13:00,0,13,358553.18
1/1/2019 14:00,0,14,363467.34
1/1/2019 15:00,0,15,333981.62
1/1/2019 16:00,0,16,294666.06
1/1/2019 17:00,0,17,270093.74
1/1/2019 18:00,0,18,348724.1
1/1/2019 19:00,0,19,442098.84
1/1/2019 20:00,0,20,510901.26
1/1/2019 21:00,0,21,466671.54
1/1/2019 22:00,0,22,447013
1/1/2019 23:00,0,23,358552.8
1/2/2019 0:00,0,0,235691.96
1/2/2019 1:00,0,1,112831.5
1/2/2019 2:00,0,2,44095.96
1/2/2019 3:00,0,3,17133.44
1/2/2019 4:00,0,4,22047.98
1/2/2019 5:00,0,5,66211.2
1/2/2019 6:00,0,6,225863.26
1/2/2019 7:00,0,7,471584.94
1/2/2019 8:00,0,8,619018.86
1/2/2019 9:00,0,9,614105.46
1/2/2019 10:00,0,10,476501
1/2/2019 11:00,0,11,392955.34
1/2/2019 12:00,0,12,353639.4
1/2/2019 13:00,0,13,358553.18
1/2/2019 14:00,0,14,363467.34
1/2/2019 15:00,0,15,333981.62
1/2/2019 16:00,0,16,294666.06
1/2/2019 17:00,0,17,270093.74
1/2/2019 18:00,0,18,348724.1
1/2/2019 19:00,0,19,442098.84
1/2/2019 20:00,0,20,510901.26
1/2/2019 21:00,0,21,466671.54
1/2/2019 22:00,0,22,447013
1/2/2019 23:00,0,23,358552.8
1/3/2019 0:00,0,0,235691.96
1/3/2019 1:00,0,1,112831.5
1/3/2019 2:00,0,2,44095.96
1/3/2019 3:00,0,3,17133.44
1/3/2019 4:00,0,4,22047.98
1/3/2019 5:00,0,5,66211.2
1/3/2019 6:00,0,6,225863.26
1/3/2019 7:00,0,7,471584.94
1/3/2019 8:00,0,8,619018.86
1/3/2019 9:00,0,9,614105.46
1/3/2019 10:00,0,10,476501
1/3/2019 11:00,0,11,392955.34
1/3/2019 12:00,0,12,353639.4
1/3/2019 13:00,0,13,358553.18
1/3/2019 14:00,0,14,363467.34
1/3/2019 15:00,0,15,333981.62
1/3/2019 16:00,0,16,294666.06
1/3/2019 17:00,0,17,270093.74
1/3/2019 18:00,0,18,348724.1
1/3/2019 19:00,0,19,442098.84
1/3/2019 20:00,0,20,510901.26
1/3/2019 21:00,0,21,466671.54
1/3/2019 22:00,0,22,447013
1/3/2019 23:00,0,23,358552.8
1/4/2019 0:00,0,0,235691.96
1/4/2019 1:00,0,1,112831.5
1/4/2019 2:00,0,2,44095.96
1/4/2019 3:00,0,3,17133.44
1/4/2019 4:00,0,4,22047.98
1/4/2019 5:00,0,5,66211.2
1/4/2019 6:00,0,6,225863.26
1/4/2019 7:00,0,7,471584.94
1/4/2019 8:00,0,8,619018.86
1/4/2019 9:00,0,9,614105.46
1/4/2019 10:00,0,10,476501
1/4/2019 11:00,0,11,392955.34
1/4/2019 12:00,0,12,353639.4
1/4/2019 13:00,0,13,358553.18
1/4/2019 14:00,0,14,363467.34
1/4/2019 15:00,0,15,333981.62
1/4/2019 16:00,0,16,294666.06
1/4/2019 17:00,0,17,270093.74
1/4/2019 18:00,0,18,348724.1
1/4/2019 19:00,0,19,442098.84
1/4/2019 20:00,0,20,510901.26
1/4/2019 21:00,0,21,466671.54
1/4/2019 22:00,0,22,447013
1/4/2019 23:00,0,23,358552.8
1/5/2019 0:00,1,0,265843.06
1/5/2019 1:00,1,1,173133.7
1/5/2019 2:00,1,2,81088.58
1/5/2019 3:00,1,3,46687.18
1/5/2019 4:00,1,4,17200.7
1/5/2019 5:00,1,5,27029.4
1/5/2019 6:00,1,6,66344.96
1/5/2019 7:00,1,7,144976.46
1/5/2019 8:00,1,8,324353.56
1/5/2019 9:00,1,9,579905.46
1/5/2019 10:00,1,10,756824.34
1/5/2019 11:00,1,11,742080.34
1/5/2019 12:00,1,12,643789.54
1/5/2019 13:00,1,13,604474.74
1/5/2019 14:00,1,14,653621.66
1/5/2019 15:00,1,15,609393.46
1/5/2019 16:00,1,16,604477.4
1/5/2019 17:00,1,17,658536.2
1/5/2019 18:00,1,18,801055.2
1/5/2019 19:00,1,19,894431.46
1/5/2019 20:00,1,20,810884.66
1/5/2019 21:00,1,21,614306.86
1/5/2019 22:00,1,22,412813
1/5/2019 23:00,1,23,275208.92
1/6/2019 0:00,2,0,218693.04
1/6/2019 1:00,2,1,162176.78
1/6/2019 2:00,2,2,113032.14
1/6/2019 3:00,2,3,68802.42
1/6/2019 4:00,2,4,24572.32
1/6/2019 5:00,2,5,22114.86
1/6/2019 6:00,2,6,22114.86
1/6/2019 7:00,2,7,90917.28
1/6/2019 8:00,2,8,270294
1/6/2019 9:00,2,9,560246.54
1/6/2019 10:00,2,10,860027.4
1/6/2019 11:00,2,11,977975.6
1/6/2019 12:00,2,12,963231.6
1/6/2019 13:00,2,13,840370
1/6/2019 14:00,2,14,697851
1/6/2019 15:00,2,15,516017.2
1/6/2019 16:00,2,16,348925.5
1/6/2019 17:00,2,17,289952.16
1/6/2019 18:00,2,18,334182.26
1/6/2019 19:00,2,19,432471.16
1/6/2019 20:00,2,20,461958.02
1/6/2019 21:00,2,21,432470.4
1/6/2019 22:00,2,22,417727.16
1/6/2019 23:00,2,23,334181.88
1/7/2019 0:00,0,0,223506.88
1/7/2019 1:00,0,1,112831.5
1/7/2019 2:00,0,2,44095.96
1/7/2019 3:00,0,3,17133.44
1/7/2019 4:00,0,4,22047.98
1/7/2019 5:00,0,5,66211.2
1/7/2019 6:00,0,6,225863.26
1/7/2019 7:00,0,7,471584.94
1/7/2019 8:00,0,8,619018.86
1/7/2019 9:00,0,9,614105.46
1/7/2019 10:00,0,10,476501
1/7/2019 11:00,0,11,392955.34
1/7/2019 12:00,0,12,353639.4
1/7/2019 13:00,0,13,358553.18
