country,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE,DE
variable,heat_demand,heat_demand,heat_demand,heat_demand,heat_demand,heat_demand,heat_demand,heat_demand,heat_demand,heat_profile,heat_profile,heat_profile,heat_profile,heat_profile,heat_profile
attribute,space,space_COM,space_MFH,space_SFH,total,water,water_COM,water_MFH,water_SFH,space_COM,space_MFH,space_SFH,water_COM,water_MFH,water_SFH
unit,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW/TWh,MW/TWh,MW/TWh,MW/TWh,MW/TWh,MW/TWh
time,,,,,,,,,,,,,,,
2018-12-31 23:00:00+00:00,102252,28630,19966,53655,106729,4476,1946,1772,759,275,179,206,72,75,14
2019-01-01 00:00:00+00:00,105474,29451,21110,54914,110670,5196,2449,1837,910,283,189,211,91,77,16
2019-01-01 01:00:00+00:00,108301,30152,21560,56589,113367,5067,2546,1779,742,290,193,218,94,75,13
2019-01-01 02:00:00+00:00,115944,32391,23541,60013,121620,5675,2603,1707,1365,312,211,231,96,72,25
2019-01-01 03:00:00+00:00,130673,33574,28058,69042,140206,9532,3575,2737,3220,323,252,265,132,115,58
2019-01-01 04:00:00+00:00,170520,38224,42045,90252,190162,19642,5773,3738,10131,368,377,347,214,157,183
2019-01-01 05:00:00+00:00,199840,44215,42568,113057,225357,25517,6519,3169,15829,425,382,435,242,133,286
2019-01-01 06:00:00+00:00,193052,46971,39821,106261,217166,24113,6478,3998,13638,452,357,408,240,168,246
2019-01-01 07:00:00+00:00,193982,49202,40260,104521,212786,18804,4881,3573,10350,473,361,402,181,150,187
2019-01-01 08:00:00+00:00,186678,46996,39295,100387,204736,18058,4532,3630,9895,452,352,386,168,153,179
2019-01-01 09:00:00+00:00,179059,44170,38295,96594,195930,16871,4443,3443,8985,425,343,371,165,145,162
2019-01-01 10:00:00+00:00,171286,41928,37042,92316,187875,16589,4127,3342,9120,403,332,355,153,141,165
2019-01-01 11:00:00+00:00,167268,40050,36649,90570,183315,16047,3908,3357,8783,385,329,348,145,141,159
2019-01-01 12:00:00+00:00,168938,40155,36726,92057,182223,13284,3121,3083,7080,386,329,354,116,130,128
2019-01-01 13:00:00+00:00,171517,40127,36734,94656,184237,12720,2765,3162,6794,386,329,364,102,133,123
2019-01-01 14:00:00+00:00,176085,40589,37513,97983,187680,11595,2659,2867,6069,391,336,377,99,121,110
2019-01-01 15:00:00+00:00,182917,41409,39315,102193,195166,12249,2294,2824,7131,398,353,393,85,119,129
2019-01-01 16:00:00+00:00,186020,40857,40483,104681,199889,13869,2449,3025,8395,393,363,402,91,127,152
2019-01-01 17:00:00+00:00,186511,39464,41102,105945,200398,13887,2578,3184,8125,380,369,407,96,134,147
2019-01-01 18:00:00+00:00,183570,37846,40837,104887,198419,14849,3008,3277,8564,364,366,403,111,138,155
2019-01-01 19:00:00+00:00,176167,36758,39317,100092,191736,15569,3130,3573,8867,354,353,385,116,150,160
2019-01-01 20:00:00+00:00,159182,34360,35721,89101,173103,13921,2870,3465,7586,331,320,342,106,146,137
2019-01-01 21:00:00+00:00,127195,29933,30902,66360,137549,10353,2789,3148,4417,288,277,255,103,133,80
2019-01-01 22:00:00+00:00,106669,28253,22625,55792,112930,6261,2092,2348,1821,272,203,214,78,99,33
2019-01-01 23:00:00+00:00,88213,24808,17385,46020,92673,4460,1930,1772,759,239,156,177,72,75,14
2019-01-02 00:00:00+00:00,91232,25442,18538,47252,96403,5171,2424,1837,910,245,166,182,90,77,16
2019-01-02 01:00:00+00:00,93800,26178,18953,48669,98843,5042,2521,1779,742,252,170,187,93,75,13
2019-01-02 02:00:00+00:00,100747,28206,20736,51805,106398,5651,2578,1707,1365,271,186,199,96,72,25
2019-01-02 03:00:00+00:00,114023,29401,24773,59850,123523,9500,3543,2737,3220,283,222,230,131,115,58
2019-01-02 04:00:00+00:00,149699,32763,37419,79517,169284,19586,5716,3738,10131,315,336,306,212,157,183
2019-01-02 05:00:00+00:00,175221,37869,38025,99327,200682,25460,6462,3169,15829,364,341,382,239,133,286
2019-01-02 06:00:00+00:00,169579,40272,35674,93633,193635,24057,6421,3998,13638,387,320,360,238,168,246
2019-01-02 07:00:00+00:00,169979,42217,35873,91889,188734,18755,4832,3573,10350,406,322,353,179,150,187
2019-01-02 08:00:00+00:00,163430,40498,34958,87975,181448,18017,4492,3630,9895,390,314,338,166,153,179
2019-01-02 09:00:00+00:00,156635,38148,34117,84371,173465,16830,4402,3443,8985,367,306,324,163,145,162
2019-01-02 10:00:00+00:00,149656,35990,32921,80745,166204,16548,4086,3342,9120,346,295,310,151,141,165
2019-01-02 11:00:00+00:00,146126,34451,32565,79109,162132,16007,3867,3357,8783,331,292,304,143,141,159
2019-01-02 12:00:00+00:00,148400,34792,32834,80775,161652,13252,3089,3083,7080,335,294,310,114,130,128
2019-01-02 13:00:00+00:00,150540,34713,32885,82942,163236,12696,2740,3162,6794,334,295,319,102,133,123
2019-01-02 14:00:00+00:00,154984,35201,33628,86155,166546,11562,2627,2867,6069,339,302,331,97,121,110
2019-01-02 15:00:00+00:00,161225,36285,35282,89658,173458,12232,2278,2824,7131,349,316,345,84,119,129
