time,MW
2018-12-31 23:00:00+00:00,106729
2019-01-01 00:00:00+00:00,110670
2019-01-01 01:00:00+00:00,113367
2019-01-01 02:00:00+00:00,121620
2019-01-01 03:00:00+00:00,140206
2019-01-01 04:00:00+00:00,190162
2019-01-01 05:00:00+00:00,225357
2019-01-01 06:00:00+00:00,217166
2019-01-01 07:00:00+00:00,212786
2019-01-01 08:00:00+00:00,204736
2019-01-01 09:00:00+00:00,195930
2019-01-01 10:00:00+00:00,187875
2019-01-01 11:00:00+00:00,183315
2019-01-01 12:00:00+00:00,182223
2019-01-01 13:00:00+00:00,184237
2019-01-01 14:00:00+00:00,187680
2019-01-01 15:00:00+00:00,195166
2019-01-01 16:00:00+00:00,199889
2019-01-01 17:00:00+00:00,200398
2019-01-01 18:00:00+00:00,198419
2019-01-01 19:00:00+00:00,191736
2019-01-01 20:00:00+00:00,173103
2019-01-01 21:00:00+00:00,137549
2019-01-01 22:00:00+00:00,112930
2019-01-01 23:00:00+00:00,92673
2019-01-02 00:00:00+00:00,96403
2019-01-02 01:00:00+00:00,98843
2019-01-02 02:00:00+00:00,106398
2019-01-02 03:00:00+00:00,123523
2019-01-02 04:00:00+00:00,169284
2019-01-02 05:00:00+00:00,200682
2019-01-02 06:00:00+00:00,193635
2019-01-02 07:00:00+00:00,188734
2019-01-02 08:00:00+00:00,181448
2019-01-02 09:00:00+00:00,173465
2019-01-02 10:00:00+00:00,166204
2019-01-02 11:00:00+00:00,162132
2019-01-02 12:00:00+00:00,161652
2019-01-02 13:00:00+00:00,163236
2019-01-02 14:00:00+00:00,166546
2019-01-02 15:00:00+00:00,173458
2019-01-02 16:00:00+00:00,177913
2019-01-02 17:00:00+00:00,178659
2019-01-02 18:00:00+00:00,177051
2019-01-02 19:00:00+00:00,171311
2019-01-02 20:00:00+00:00,154629
2019-01-02 21:00:00+00:00,121538
2019-01-02 22:00:00+00:00,98805
2019-01-02 23:00:00+00:00,85512
2019-01-03 00:00:00+00:00,89326
2019-01-03 01:00:00+00:00,91452
2019-01-03 02:00:00+00:00,99036
2019-01-03 03:00:00+00:00,116337
2019-01-03 04:00:00+00:00,159755
2019-01-03 05:00:00+00:00,189550
2019-01-03 06:00:00+00:00,183099
2019-01-03 07:00:00+00:00,177937
2019-01-03 08:00:00+00:00,170164
2019-01-03 09:00:00+00:00,162108
2019-01-03 10:00:00+00:00,155126
2019-01-03 11:00:00+00:00,151279
2019-01-03 12:00:00+00:00,150798
2019-01-03 13:00:00+00:00,152409
2019-01-03 14:00:00+00:00,155694
2019-01-03 15:00:00+00:00,162194
2019-01-03 16:00:00+00:00,166988
2019-01-03 17:00:00+00:00,168018
2019-01-03 18:00:00+00:00,166930
2019-01-03 19:00:00+00:00,161594
2019-01-03 20:00:00+00:00,145711
2019-01-03 21:00:00+00:00,113745
2019-01-03 22:00:00+00:00,91757
2019-01-03 23:00:00+00:00,80591
2019-01-04 00:00:00+00:00,84421
2019-01-04 01:00:00+00:00,86535
2019-01-04 02:00:00+00:00,93549
2019-01-04 03:00:00+00:00,111073
2019-01-04 04:00:00+00:00,153027
2019-01-04 05:00:00+00:00,184063
2019-01-04 06:00:00+00:00,177727
2019-01-04 07:00:00+00:00,172022
2019-01-04 08:00:00+00:00,163671
2019-01-04 09:00:00+00:00,155953
2019-01-04 10:00:00+00:00,149172
2019-01-04 11:00:00+00:00,145152
2019-01-04 12:00:00+00:00,144234
2019-01-04 13:00:00+00:00,145968
2019-01-04 14:00:00+00:00,149176
2019-01-04 15:00:00+00:00,155442
2019-01-04 16:00:00+00:00,160318
2019-01-04 17:00:00+00:00,162112
2019-01-04 18:00:00+00:00,161364
2019-01-04 19:00:00+00:00,155971
2019-01-04 20:00:00+00:00,140675
2019-01-04 21:00:00+00:00,109530
2019-01-04 22:00:00+00:00,87522
