bus,technology,unit_id,demand_TWh,remaining_lifetime,decommissioning_year,p_nom,carrier,commissioning_year
DE0 2 heat,biomass_burner,1,0.972934783,1,2021,277.66,biomass,1996
DE0 2 heat,biomass_burner,2,0.972934783,2,2022,277.66,biomass,1997
DE0 2 heat,biomass_burner,3,0.972934783,3,2023,277.66,biomass,1998
DE0 2 heat,biomass_burner,4,0.972934783,4,2024,277.66,biomass,1999
DE0 2 heat,biomass_burner,5,0.972934783,5,2025,277.66,biomass,2000
DE0 2 heat,biomass_burner,6,0.972934783,6,2026,277.66,biomass,2001
DE0 2 heat,biomass_burner,7,0.972934783,7,2027,277.66,biomass,2002
DE0 2 heat,biomass_burner,8,0.972934783,8,2028,277.66,biomass,2003
DE0 2 heat,biomass_burner,9,0.972934783,9,2029,277.66,biomass,2004
DE0 2 heat,biomass_burner,10,0.972934783,10,2030,277.66,biomass,2005
DE0 2 heat,biomass_burner,11,0.972934783,11,2031,277.66,biomass,2006
DE0 2 heat,biomass_burner,12,0.972934783,13,2033,277.66,biomass,2008
DE0 2 heat,biomass_burner,13,0.972934783,14,2034,277.66,biomass,2009
DE0 2 heat,biomass_burner,14,0.972934783,15,2035,277.66,biomass,2010
DE0 2 heat,biomass_burner,15,0.972934783,16,2036,277.66,biomass,2011
DE0 2 heat,biomass_burner,16,0.972934783,17,2037,277.66,biomass,2012
DE0 2 heat,biomass_burner,17,0.972934783,18,2038,277.66,biomass,2013
DE0 2 heat,biomass_burner,18,0.972934783,19,2039,277.66,biomass,2014
DE0 2 heat,biomass_burner,19,0.972934783,20,2040,277.66,biomass,2015
DE0 2 heat,biomass_burner,20,0.972934783,21,2041,277.66,biomass,2016
DE0 2 heat,biomass_burner,21,0.972934783,22,2042,277.66,biomass,2017
DE0 2 heat,biomass_burner,22,0.972934783,23,2043,277.66,biomass,2018
DE0 2 heat,biomass_burner,23,0.972934783,25,2045,277.66,biomass,2020
DE0 9 heat,biomass_burner,1,0.93423,1,2021,266.62,biomass,1996
DE0 9 heat,biomass_burner,2,0.93423,2,2022,266.62,biomass,1997
DE0 9 heat,biomass_burner,3,0.93423,4,2024,266.62,biomass,1999
DE0 9 heat,biomass_burner,4,0.93423,6,2026,266.62,biomass,2001
DE0 9 heat,biomass_burner,5,0.93423,7,2027,266.62,biomass,2002
DE0 9 heat,biomass_burner,6,0.93423,9,2029,266.62,biomass,2004
DE0 9 heat,biomass_burner,7,0.93423,11,2031,266.62,biomass,2006
DE0 9 heat,biomass_burner,8,0.93423,13,2033,266.62,biomass,2008
DE0 9 heat,biomass_burner,9,0.93423,14,2034,266.62,biomass,2009
DE0 9 heat,biomass_burner,10,0.93423,16,2036,266.62,biomass,2011
DE0 9 heat,biomass_burner,11,0.93423,18,2038,266.62,biomass,2013
DE0 9 heat,biomass_burner,12,0.93423,19,2039,266.62,biomass,2014
DE0 9 heat,biomass_burner,13,0.93423,21,2041,266.62,biomass,2016
DE0 9 heat,biomass_burner,14,0.93423,23,2043,266.62,biomass,2018
DE0 9 heat,biomass_burner,15,0.93423,25,2045,266.62,biomass,2020
DE0 A heat,biomass_burner,1,0.997544815,1,2021,284.69,biomass,1996
DE0 A heat,biomass_burner,2,0.997544815,1,2021,284.69,biomass,1996
DE0 A heat,biomass_burner,3,0.997544815,2,2022,284.69,biomass,1997
DE0 A heat,biomass_burner,4,0.997544815,3,2023,284.69,biomass,1998
DE0 A heat,biomass_burner,5,0.997544815,4,2024,284.69,biomass,1999
DE0 A heat,biomass_burner,6,0.997544815,5,2025,284.69,biomass,2000
DE0 A heat,biomass_burner,7,0.997544815,6,2026,284.69,biomass,2001
DE0 A heat,biomass_burner,8,0.997544815,7,2027,284.69,biomass,2002
DE0 A heat,biomass_burner,9,0.997544815,8,2028,284.69,biomass,2003
DE0 A heat,biomass_burner,10,0.997544815,9,2029,284.69,biomass,2004
DE0 A heat,biomass_burner,11,0.997544815,10,2030,284.69,biomass,2005
DE0 A heat,biomass_burner,12,0.997544815,11,2031,284.69,biomass,2006
DE0 A heat,biomass_burner,13,0.997544815,12,2032,284.69,biomass,2007
DE0 A heat,biomass_burner,14,0.997544815,13,2033,284.69,biomass,2008
DE0 A heat,biomass_burner,15,0.997544815,13,2033,284.69,biomass,2008
DE0 A heat,biomass_burner,16,0.997544815,14,2034,284.69,biomass,2009
DE0 A heat,biomass_burner,17,0.997544815,15,2035,284.69,biomass,2010
DE0 A heat,biomass_burner,18,0.997544815,16,2036,284.69,biomass,2011
DE0 A heat,biomass_burner,19,0.997544815,17,2037,284.69,biomass,2012
DE0 A heat,biomass_burner,20,0.997544815,18,2038,284.69,biomass,2013
DE0 A heat,biomass_burner,21,0.997544815,19,2039,284.69,biomass,2014
DE0 A heat,biomass_burner,22,0.997544815,20,2040,284.69,biomass,2015
DE0 A heat,biomass_burner,23,0.997544815,21,2041,284.69,biomass,2016
DE0 A heat,biomass_burner,24,0.997544815,22,2042,284.69,biomass,2017
DE0 A heat,biomass_burner,25,0.997544815,23,2043,284.69,biomass,2018
DE0 A heat,biomass_burner,26,0.997544815,24,2044,284.69,biomass,2019
DE0 A heat,biomass_burner,27,0.997544815,25,2045,284.69,biomass,2020
DE0 E heat,biomass_burner,1,0.952452857,1,2021,271.82,biomass,1996
DE0 E heat,biomass_burner,2,0.952452857,2,2022,271.82,biomass,1997
DE0 E heat,biomass_burner,3,0.952452857,4,2024,271.82,biomass,1999
DE0 E heat,biomass_burner,4,0.952452857,6,2026,271.82,biomass,2001
DE0 E heat,biomass_burner,5,0.952452857,8,2028,271.82,biomass,2003
DE0 E heat,biomass_burner,6,0.952452857,10,2030,271.82,biomass,2005
DE0 E heat,biomass_burner,7,0.952452857,12,2032,271.82,biomass,2007
DE0 E heat,biomass_burner,8,0.952452857,13,2033,271.82,biomass,2008
DE0 E heat,biomass_burner,9,0.952452857,15,2035,271.82,biomass,2010
DE0 E heat,biomass_burner,10,0.952452857,17,2037,271.82,biomass,2012
DE0 E heat,biomass_burner,11,0.952452857,19,2039,271.82,biomass,2014
DE0 E heat,biomass_burner,12,0.952452857,21,2041,271.82,biomass,2016
DE0 E heat,biomass_burner,13,0.952452857,23,2043,271.82,biomass,2018
DE0 E heat,biomass_burner,14,0.952452857,25,2045,271.82,biomass,2020
