bus,technology,year_added,heat_share,demand_TWh,p_nom,p_nom_max,n_units,remaining_lifetime,decommissioning_year,carrier
DE0 2 heat,solar_thermal,2020,0.005,1.118875,851.5,1021.8,56,25,2045,solar_thermal
DE0 2 heat,solar_thermal,2021,0.008166666666666666,1.827495833333333,1390.79,1668.95,91,25,2046,solar_thermal
DE0 2 heat,solar_thermal,2022,0.011333333333333334,2.536116666666667,1930.07,2316.08,127,25,2047,solar_thermal
DE0 2 heat,solar_thermal,2023,0.014499999999999999,3.2447375,2469.36,2963.23,162,25,2048,solar_thermal
DE0 2 heat,solar_thermal,2024,0.017666666666666667,3.9533583333333335,3008.64,3610.37,198,25,2049,solar_thermal
DE0 2 heat,solar_thermal,2025,0.020833333333333332,4.661979166666667,3547.93,4257.52,233,25,2050,solar_thermal
DE0 2 heat,solar_thermal,2026,0.024,5.3706000000000005,4087.21,4904.65,269,25,2051,solar_thermal
DE0 2 heat,solar_thermal,2027,0.02716666666666667,6.079220833333334,4626.5,5551.8,304,25,2052,solar_thermal
DE0 2 heat,solar_thermal,2028,0.030333333333333334,6.787841666666667,5165.79,6198.95,339,25,2053,solar_thermal
DE0 2 heat,solar_thermal,2029,0.033499999999999995,7.496462499999999,5705.07,6846.08,375,25,2054,solar_thermal
DE0 2 heat,solar_thermal,2030,0.03666666666666666,8.205083333333333,6244.36,7493.23,410,25,2055,solar_thermal
DE0 2 heat,solar_thermal,2031,0.03983333333333333,8.913704166666667,6783.64,8140.37,446,25,2056,solar_thermal
DE0 2 heat,solar_thermal,2032,0.043,9.622325,7322.93,8787.52,481,25,2057,solar_thermal
DE0 2 heat,solar_thermal,2033,0.04616666666666666,10.330945833333333,7862.21,9434.65,517,25,2058,solar_thermal
DE0 2 heat,solar_thermal,2034,0.04933333333333333,11.039566666666667,8401.5,10081.8,552,25,2059,solar_thermal
DE0 2 heat,solar_thermal,2035,0.0525,11.7481875,8940.78,10728.94,587,25,2060,solar_thermal
DE0 2 heat,solar_thermal,2036,0.05566666666666666,12.456808333333333,9480.07,11376.08,623,25,2061,solar_thermal
DE0 2 heat,solar_thermal,2037,0.05883333333333333,13.165429166666666,10019.35,12023.22,658,25,2062,solar_thermal
DE0 2 heat,solar_thermal,2038,0.06199999999999999,13.874049999999999,10558.64,12670.37,694,25,2063,solar_thermal
DE0 2 heat,solar_thermal,2039,0.06516666666666666,14.582670833333333,11097.92,13317.5,729,25,2064,solar_thermal
DE0 2 heat,solar_thermal,2040,0.06833333333333333,15.291291666666666,11637.21,13964.65,765,25,2065,solar_thermal
