,Cluster,Subsector,mean,median,count
0,DE2,Cement,346523.12,305531.0,25
1,DE2,Chemical industry,104316.83333333333,50210.0,6
2,DE2,Glass,49013.11111111111,30361.0,18
3,DE2,Iron and steel,80042.85714285714,67711.0,7
4,DE2,Non-ferrous metals,58428.333333333336,41892.0,3
5,DE2,Non-metallic mineral products,15154.566666666668,11281.0,60
6,DE2,Paper and printing,49765.21621621621,26519.0,37
7,DE2,Refineries,1235371.8,975544.0,5
8,DE9,Cement,310930.8,141024.0,10
9,DE9,Chemical industry,232375.1,125289.5,10
10,DE9,Glass,31589.2,33503.0,10
11,DE9,Iron and steel,1176270.4285714286,419519.0,7
12,DE9,Non-ferrous metals,107420.7,43275.5,10
13,DE9,Non-metallic mineral products,11908.592592592593,9135.0,27
14,DE9,Paper and printing,58526.066666666666,8990.0,15
15,DE9,Refineries,362791.6666666667,74224.0,9
16,DEA,Cement,307153.64864864864,179633.0,37
17,DEA,Chemical industry,243178.53658536586,28631.0,41
18,DEA,Glass,61869.57142857143,50201.0,21
19,DEA,Iron and steel,373998.1343283582,42270.0,67
20,DEA,Non-ferrous metals,87188.61111111111,36003.0,18
21,DEA,Non-metallic mineral products,15512.512195121952,12876.0,41
22,DEA,Paper and printing,42851.307692307695,12680.5,52
23,DEA,Refineries,1989588.75,1683791.5,4
24,DEE,Cement,433063.1538461539,150676.0,13
25,DEE,Chemical industry,509342.7,147301.0,10
26,DEE,Glass,42924.93103448276,26202.0,29
27,DEE,Iron and steel,175303.0,47588.0,13
28,DEE,Non-ferrous metals,38907.666666666664,17815.0,3
29,DEE,Non-metallic mineral products,21301.666666666668,17536.0,27
30,DEE,Paper and printing,28186.2,12698.0,20
31,DEE,Refineries,2028168.3333333333,1873500.0,3
